	protein_sequence1	protein_sequence2
1633	92	1407
1634	92	2281
1635	2116	377
1636	618	1653
1637	618	1563
1638	2465	1653
1639	2465	2280
1640	2465	2211
1641	2465	1563
1642	280	1653
1643	2309	1653
1644	2309	2331
1645	2309	1563
1646	319	1653
1647	319	2211
1648	319	1563
1649	2554	1653
1650	2554	2280
1651	2554	2211
1652	2554	1563
1653	428	1653
1654	428	780
1655	428	2394
1656	428	377
1657	428	619
1658	428	677
1659	1391	2331
1660	1551	2108
1661	115	709
1662	115	1883
1663	115	1830
1664	115	2394
1665	115	1372
1666	115	824
1667	182	2154
1668	772	937
1669	1693	1883
1670	1693	1975
1671	1693	377
1672	1693	692
1673	1693	84
1674	1693	2280
1675	1693	2453
1676	1693	1
1677	1963	1304
1678	1963	2331
1679	1517	1282
1680	1517	290
1681	1517	2706
1682	1517	737
1683	1517	737
1684	1517	737
1685	1517	780
1686	1517	1883
1687	1517	135
1688	1517	1710
1689	1517	1470
1690	647	1787
1691	647	1823
1692	647	1351
1693	647	1294
1694	435	1563
1695	2128	1435
1696	2128	1407
1697	2128	2280
1698	2128	2107
1699	2128	244
1700	2128	1119
1701	2128	394
1702	2585	1563
1703	1966	377
1704	159	2034
1705	159	2331
1706	159	2196
1707	159	2280
1708	1468	780
1709	2336	970
1710	2336	1653
1711	2336	2589
1712	2336	693
1713	2336	800
1714	2336	84
1715	1540	2034
1716	1033	393
1717	1033	780
1718	1033	328
1719	1033	1622
1720	1033	377
1721	1033	2177
1722	1033	436
1723	2445	708
1724	2445	1017
1725	2445	1811
1726	2445	1025
1727	2445	2280
1728	1006	1134
1729	1006	1653
1730	1006	1818
1731	1006	2034
1732	1006	1975
1733	1006	377
1734	1006	800
1735	1006	84
1736	1006	2196
1737	1006	2280
1738	1006	1563
1739	1799	2331
1740	1799	1294
1741	1126	471
1742	463	171
1743	463	2327
1744	463	908
1745	463	1653
1746	463	1883
1747	463	2034
1748	463	2331
1749	463	1389
1750	463	1036
1751	463	693
1752	463	1114
1753	463	1975
1754	463	377
1755	463	84
1756	463	26
1757	463	401
1758	463	1097
1759	463	1757
1760	463	2280
1761	2568	780
1762	935	2331
1763	935	2280
1764	935	2211
1765	1403	2331
1766	1403	377
1767	2492	1134
1768	2492	683
1769	2492	2331
1770	2492	1114
1771	2492	1975
1772	2492	377
1773	2492	124
1774	2492	1757
1775	2492	2280
1776	506	1660
1777	506	2331
1778	506	2560
1779	506	1294
